name,superlanguage
Xiang,Chinese
Hunanese,Chinese
Huizhou,Chinese
Tujia,Sino-Tibetan
Tibetic,Sino-Tibetan
Central Tibetan,Tibetic
Ü-Zang,Tibetic
Amdolese,Tibetic
Khams,Tibetic
Balti,Tibetic
Dzongkha,Tibetic
Sherpa,Tibetic
Western Tibeto-Burman,Sino-Tibetan
Newar,Western Tibeto-Burman
Newari,Western Tibeto-Burman
Nepal Bhasa,Western Tibeto-Burman
Magar,Western Tibeto-Burman
Tshangla,Western Tibeto-Burman
Sharchop,Western Tibeto-Burman
Tamang,Western Tibeto-Burman
Kuki-Chin,Sino-Tibetan
Kukish,Sino-Tibetan
Chin,Kuki-Chin
Mizo,Kuki-Chin
Zomi,Kuki-Chin
Meitei,Sino-Tibetan
Manipuri,Sino-Tibetan
Lolo-Burmese,Sino-Tibetan
Hani,Lolo-Burmese
Akha,Lolo-Burmese
Yi,Lolo-Burmese
Nuosu,Lolo-Burmese
Lolo,Lolo-Burmese
Lisu,Lolo-Burmese
Lahu,Lolo-Burmese
Burmese,Lolo-Burmese
Burmish,Lolo-Burmese
Rakhine,Lolo-Burmese
Arakan,Lolo-Burmese
Karen,Sino-Tibetan
Sal,Sino-Tibetan
Brahmaputran,Sino-Tibetan
Jingpo,Sal
Kachin,Sal
Bodo,Sal
Hmong-Mien,
Hmong,Hmong-Mien
Mong,Hmong-Mien
Hmu,Hmong-Mien
Iu-Mien,Hmong-Mien
Austroasiatic,
Munda,Austroasiatic
Santali,Munda
Mundari,Munda
Khasi,Austroasiatic
Mon,Austroasiatic
Palaungic,Austroasiatic
Wa,Palaungic
Khmu,Austroasiatic
Katuic,Austroasiatic
Kuy,Katuic
Xuay,Katuic
Bru,Katuic
TaOi,Katuic
Bahnaric,Austroasiatic
Sedang,Bahnaric
Xo Dang,Bahnaric
Bahnar,Bahnaric
Ba Na,Bahnaric
Koho,Bahnaric
Khmer,Austroasiatic
Vietnamese,Austroasiatic
Aslian,Austroasiatic
Kra-Dai,
Tai-Kadai,
Kam-Sui,Kra-Dai
Kam,Kam-Sui
Dong,Kam-Sui
Hlai,Kra-Dai
Li,Kra-Dai
Tai,Kra-Dai
Northern Tai,Tai
Bouyei,Northern Tai
Giay,Northern Tai
Zhuang,Northern Tai
Northern Zhuang,Northern Tai
Central Tai,Tai
Tay,Central Tai
Southern Zhuang,Central Tai
Nung,Central Tai
Tay-Nung,Central Tai
Southwestern Tai,Tai
Thai,Southwestern Tai
Shan,Southwestern Tai
Tai Nuea,Southwestern Tai
Austronesian,
Formosan,Austronesian
Amis,Formosan
Paiwan,Formosan
Malayo-Polynesian,Austronesian
Chamic,Malayo-Polynesian
Cham,Chamic
Rade,Chamic
Jarai,Chamic
Acehnese,Chamic
Malay,Malayo-Polynesian
Indonesian,Malayo-Polynesian
Malaysian,Malayo-Polynesian
Kedayan,Malayo-Polynesian
Brunei Malay,Malayo-Polynesian
Iban,Malayo-Polynesian
Minangkabau,Malayo-Polynesian
Javanese,Malayo-Polynesian
Sundanese,Malayo-Polynesian
Madurese,Malayo-Polynesian
East Barito,Malayo-Polynesian
Malagasy,East Barito
Central Malayo-Polynesian,Malayo-Polynesian
Tetum,Central Malayo-Polynesian
Philippine,Malayo-Polynesian
Tagalog,Philippine
Filipino,Philippine
Cebuanu,Philippine
Visayan,Philippine
Ilokano,Philippine
Ilocano,Philippine
Hiligaynon,Philippine
Ilonggo,Philippine
Palauan,Malayo-Polynesian
Eastern/Oceanic Malayo-Polynesian,Malayo-Polynesian
Chamorro,Eastern/Oceanic Malayo-Polynesian
Oceanic,Eastern/Oceanic Malayo-Polynesian
Yapese,Oceanic
Micronesian,Oceanic
Nauruan,Micronesian
Kiribati,Micronesian
Gilbertese,Micronesian
Marshallese,Micronesian
Carolinian,Micronesian
Chuukese,Micronesian
Trukese,Micronesian
Pohnpeian,Micronesian
Kosraean,Micronesian
Mortlock,Micronesian
Ulithian,Micronesian
Western Oceanic,Oceanic
Tolai,Western Oceanic
Cheke-Holo,Western Oceanic
Roviana,Western Oceanic
Temotu,Oceanic
Äiwoo,Temotu
South-East Solomonic,Oceanic
Kwara-ae,South-East Solomonic
Fiu,South-East Solomonic
Are-Are,South-East Solomonic
Lau,South-East Solomonic
Southern Oceanic,Oceanic
New Caledonian,Southern Oceanic
Drehu,New Caledonian
Nengone,New Caledonian
Paici,New Caledonian
Xârâcùù,New Caledonian
Ajie,New Caledonian
Iaai,New Caledonian
Vanuatuan,Southern Oceanic
Lenakel,Vanuatuan
Nakanamanga,Vanuatuan
Uripiv,Vanuatuan
West Ambae,Vanuatuan
Fijian-Polynesian,Oceanic
Central Pacific,Oceanic
Fijian,Fijian-Polynesian
East Fijian,Fijian-Polynesian
Wayan,Fijian-Polynesian
Western Fijian,Fijian-Polynesian
Rotuman,Fijian-Polynesian
Polynesian,Fijian-Polynesian
Tongan,Polynesian
Niuean,Polynesian
Tikopia,Polynesian
Futunian,Polynesian
Wallisian,Polynesian
Uvean,Polynesian
East Uvean,Polynesian
West Uvean,Polynesian
Samoan,Polynesian
Tokelauan,Polynesian
Tuvaluan,Polynesian
Marquesan,Polynesian
Kapingamarangi,Polynesian
Hawaiian,Polynesian
Tahitic,Polynesian
Tahitian,Tahitic
Tuamotuan,Tahitic
Cook Islands Maori,Tahitic
Rarotongan,Tahitic
Maori,Tahitic
Trans-New Guinea,
Laani,Trans-New Guinea
Western Dani,Trans-New Guinea
Enga,Trans-New Guinea
Huli,Trans-New Guinea
Melpa,Trans-New Guinea
Kuman,Trans-New Guinea
Makasae,Trans-New Guinea
Central Solomon,
Bilua,Central Solomon
Niger-Congo,
Atlantic-Congo,Niger-Congo
Atlantic,Atlantic-Congo
Senegambian,Atlantic
North Atlantic,Atlantic
Wolof,Senegambian
Fulfulde,Senegambian
Fula,Senegambian
Pulaar,Senegambian
Serer,Senegambian
Bak,Atlantic
Diola,Bak
Jola,Bak
Balanta,Bak
Manjak,Bak
Papel,Bak
South Atlantic,Atlantic
Mel,Atlantic
Temne,South Atlantic
Kissi,South Atlantic
Gola,South Atlantic
Limba,South Atlantic
Volta-Congo,Atlantic-Congo
Kru,Volta-Congo
Klao,Kru
Bassa,Kru
Grebo,Kru
Wee,Kru
Senufo,Volta-Congo
Savannas,Volta-Congo
Gur-Adamawa-Ubangi,Volta-Congo
Bariba,Savannas
Gur,Savannas
Mossi,Gur
Moore,Gur
Dagbani,Gur
Dagbon,Gur
Gurma,Gur
Gourmantche,Gur
Gurunsi,Gur
Grusi,Gur
Ubangian,Savannas
Ngbandi,Ubangian
Sango,Ngbandi
Banda,Ubangian
Gbaya,Ubangian
Ngbaka,Ubangian
Mbaka,Ubangian
Azande,Savannas
Kwa,Volta-Congo
Akan,Kwa
Akebu,Kwa
Volta-Niger,Volta-Congo
Gbe,Volta-Niger
Ewe,Gbe
Fon,Gbe
Adja,Gbe
Aja,Gbe
YEAI,Volta-Niger
Yoruba,YEAI
Igala,YEAI
Igbo,YEAI
Edo,YEAI
NOI,Volta-Niger
Nupe,NOI
Ebira,NOI
Gbagyi,NOI
Idoma,NOI
Benue-Congo,Volta-Congo
Cross-River,Benue-Congo
Ibibio,Cross-River
Anaang,Cross-River
Central Nigerian/Platoid,Benue-Congo
Berom,Central Nigerian/Platoid
Northern Bantoid,Benue-Congo
Southern Bantoid,Benue-Congo
Tiv,Southern Bantoid
Grassfields,Southern Bantoid
Kom,Grassfields
Bamum,Grassfields
Bamileke,Grassfields
Bantu,Southern Bantoid
Zone A,Bantu
Basaa,Zone A
Duala,Zone A
Maka,Zone A
Pahuin,Zone A
Fang,Pahuin
Bube,Zone A
Zone B,Bantu
Teke-Nzebi-Mbere,Zone B
Mbete,Teke-Nzebi-Mbere
Mbere,Teke-Nzebi-Mbere
Teke,Teke-Nzebi-Mbere
Bateke,Teke-Nzebi-Mbere
Nzebi,Teke-Nzebi-Mbere
Njebi,Teke-Nzebi-Mbere
Shira-Punu,Zone B
Shira,Shira-Punu
Punu,Shira-Punu
Kota,Zone B
Myene,Zone B
Zone C,Bantu
Mboshi,Zone C
Mbochi,Zone C
Boulangui,Zone C
Bangi,Zone C
Lobangi,Zone C
Lingala,Bangi
Zone H,Bantu
Kongo,Zone H
Kikongo,Zone H
Kituba,Kongo
Munukutuba,Kongo
Lari,Kongo
Kimbundu,Zone H
Zone K,Bantu
Chokwe,Zone K
Zone L,Bantu
Luban,Zone L
Tshiluba,Luban
Luba-Kasai,Luban
Chiluba,Luban
Ciluba,Luban
Luba,Luban
Kiluba,Luban
Luba-Katanga,Luban
Kaonde,Luban
Lunda,Luban
Zone R,Bantu
Umbundu,Zone R
Southwest Bantu,Zone R
Kavango,Zone R
belong to Zone R,Zone R
Oshivambo,Southwest Bantu
Otshiherero,Southwest Bantu
Kwangali,Southwest Bantu
RuKwangali,Southwest Bantu
Northeast Bantu,Bantu
belong to Zones E and G,Bantu
Great Lakes Bantu,Northeast Bantu
Rwanda-Rundi,Great Lakes Bantu
Kinyarwanda,Rwanda-Rundi
Kirundi,Rwanda-Rundi
Ha,Rwanda-Rundi
Ganda,Great Lakes Bantu
Luganda,Great Lakes Bantu
Nkore,Great Lakes Bantu
Nkole,Great Lakes Bantu
Runyankole,Great Lakes Bantu
Kiga,Great Lakes Bantu
Rukiga,Great Lakes Bantu
Gisu,Great Lakes Bantu
Lugisu,Great Lakes Bantu
Masaba,Great Lakes Bantu
Soga,Great Lakes Bantu
Lusoga,Great Lakes Bantu
Gusii,Great Lakes Bantu
Ekegusii,Great Lakes Bantu
Kisii,Great Lakes Bantu
Luhya,Great Lakes Bantu
Kikuyu,Northeast Bantu
Kamba,Northeast Bantu
Meru,Northeast Bantu
Sukuma,Northeast Bantu
Chaga,Northeast Bantu
Haya,Northeast Bantu
Nyamwezi,Northeast Bantu
North East Coast Bantu,Northeast Bantu
belong to Zones G+E,Northeast Bantu
Gogo,North East Coast Bantu
Cigogo,North East Coast Bantu
Zigula,North East Coast Bantu
Mijikenda,North East Coast Bantu
Swahili,North East Coast Bantu
Bravanese Swahili,Swahili
Comorian,North East Coast Bantu
Rufiji–Ruvuma,Bantu
belong to Zones N and P,Bantu
Yao,Rufiji–Ruvuma
Makonde,Rufiji–Ruvuma
Zone M,Bantu
Bemba,Zone M
Botatwe,Zone M
Zambezi,Botatwe
Chitonga,Botatwe
Nyasa,Bantu
Zone N,Bantu
Tumbuka,Nyasa
Chitumbuka,Nyasa
chiTonga,Nyasa
Chewa,Nyasa
Chichewa,Nyasa
Nyanja,Nyasa
Cinyanja,Nyasa
Sena,Nyasa
Cisena,Nyasa
Nsenga,Nyasa
Southern Bantu,Bantu
Makua,Southern Bantu
Makhuwa,Southern Bantu
eMakhuwa,Southern Bantu
Lomwe,Makua
eLomwe,Makua
Tswana,Southern Bantu
seTswana,Southern Bantu
Lozi,Southern Bantu
SiLozi,Southern Bantu
Sepedi,Southern Bantu
Northern Sotho,Southern Bantu
Sotho,Southern Bantu
Sesotho,Southern Bantu
Southern Sotho,Southern Bantu
Tsonga,Southern Bantu
Xitsonga,Southern Bantu
Xichangana,Southern Bantu
Venda,Southern Bantu
Shona,Bantu
chiShona,Bantu
Kalanga,Bantu
Ndau,Bantu
Nguni,Bantu
Zulu,Nguni
isiZulu,Nguni
Xhosa,Nguni
Ndebele,Nguni
Matabele,Nguni
Swati,Nguni
Swazi,Nguni
SiSwati,Nguni
Mande,Niger-Congo
East Mande,Mande
Dan-Busa,Mande
Mano,East Mande
Dan,East Mande
Gio,East Mande
Yacouba,East Mande
Guro,East Mande
Bissa,East Mande
West Mande,Mande
Northwest Mande,West Mande
Samogo-Soninke,West Mande
Soninke,Northwest Mande
Serahuli,Northwest Mande
Sarakole,Northwest Mande
Bobo,Northwest Mande
Bozo,Northwest Mande
Central West,West Mande
Manding-Kpelle,West Mande
Central Mande,Central West
Manding,Central Mande
Manding-West,Manding
Mandinka,Manding-West
Mandingo,Manding-West
Jahanka,Manding-West
Western Maninka,Manding-West
Malinke,Manding-West
Western Malinke,Manding-West
Kassonke,Manding-West
Xasonga,Manding-West
Xaasongaxango,Manding-West
Jakhanke,Manding-West
Kita Maninka,Manding-West
Central Malinke,Manding-West
Eastern Maninka,Manding-West
Maninka,Manding-West
Eastern Malinke,Manding-West
Manding-East,Manding
Bambara,Manding-East
Bamanan,Manding-East
Dyula,Manding-East
Dioula,Manding-East
Jula,Manding-East
Marka,Manding-East
Susu,Central Mande
Soussou,Central Mande
Vai,Central Mande
Kono,Central Mande
Kuranko,Central Mande
Southwest Mande,Central West
Kpelle,Southwest Mande
Guerze,Southwest Mande
Mende,Southwest Mande
Loma,Southwest Mande
Lorma,Southwest Mande
Toma,Southwest Mande
Dogon,Niger-Congo
Ijo,Niger-Congo
Ijaw,Niger-Congo
Izon,Niger-Congo
Khoe,
Khoekhoe,Khoe
Nama,Khoe
Damara,Khoe
San,Khoe
Nilo-Saharan,
Nubian,Nilo-Saharan
Tebu,Nilo-Saharan
Masalit,Nilo-Saharan
Songhai,Nilo-Saharan
Kanuri,Nilo-Saharan
Kanembu,Nilo-Saharan
Fur,Nilo-Saharan
Central Sudanic,Nilo-Saharan
Bongo-Bagirmi,Central Sudanic
Bagirmi,Bongo-Bagirmi
Sara,Bongo-Bagirmi
Nilotic,Nilo-Saharan
Dinka-Nuer,Nilotic
Dinka,Dinka-Nuer
Nuer,Dinka-Nuer
Luo,Nilotic
Shilluk,Luo
Dholuo,Luo
Bari,Nilotic
Teso-Turkana-Maa,Nilotic
Ateso,Teso-Turkana-Maa
Karamojong,Teso-Turkana-Maa
Turkana,Teso-Turkana-Maa
Maasai,Teso-Turkana-Maa
Kunama,Nilo-Saharan
Lugbara,Nilo-Saharan
Kalenjin,Nilo-Saharan
Afro-Asiatic,
Semitic,Afro-Asiatic
