country,name,percentage
CDN,Inuit,0.2
CDN,Dakota,0.1
USA,Mestizo,16.1
USA,African,13.6
USA,German,13.2
USA,English,11.6
USA,Irish,9.7
USA,Spanish,5.4
USA,Italian,5.1
USA,French,3.0
USA,Polish,2.8
USA,Scot,2.7
USA,Jewish,2.1
USA,Norwegian,1.3
USA,Dutch,1.2
USA,Chinese,1.2
USA,Filipino,1.1
USA,Indian,1.0
USA,Arab,0.6
USA,Vietnamese,0.5
USA,Korean,0.5
USA,Japanese,0.4
USA,Cherokee,0.26
USA,Hawaiian,0.17
USA,Navajo,0.1
USA,Dakota,0.01
USA,Yupik,0.01
MEX,European,47
MEX,Mestizo,30
MEX,Amerindian,21.5
MEX,African,1.4
MEX,Arab,1
BZ,Mestizo,52.9
BZ,Mulatto,25.9
BZ,Garifuna,6.1
BZ,Qeqchi,5.7
BZ,German,3.6
BZ,Mopan,3.5
BZ,Yucatec,2.3
BZ,European,1.2
BZ,Asian,1
BZ,African,0.4
GCA,Mestizo,56
GCA,Kiche,11.0
GCA,Qeqchi,8.3
GCA,Kaqchikel,7.8
GCA,Mam,5.2
GCA,Qanjobal,2.0
GCA,Xinca,1.8
GCA,Poqomchi,1.2
GCA,Garifuna,0.2
ES,Mestizo,86.3
ES,Spanish,12.7
ES,Lenca,0.5
HN,Mestizo,90
HN,Lenca,4.6
HN,African,2
HN,European,1
HN,Miskito,0.8
HN,Garifuna,0.8
HN,Chorti,0.6
HN,Arab,0.5
NIC,Mestizo,69
NIC,European,17
NIC,African,9
NIC,Miskito,2.2
NIC,Matagalpa,1.5
NIC,Chorotega,0.5
NIC,Garifuna,0.1
CR,Mestizo,74
CR,European,10
CR,Mulatto,6.7
CR,African,1.1
CR,Amerindian,1
CR,Han Chinese,1
CR,Cabecar,0.3
CR,Bribri,0.2
CR,Ngäbe,0.1
PA,Mestizo,65
PA,African,9.2
PA,Ngäbe,7.6
PA,Mulatto,6.8
PA,European,6.7
PA,Kuna,2.4
PA,Embera,0.9
PA,Bugle,0.8
BS,African,90.6
BS,European,4.7
BS,Mulatto,2.1
TUCA,African,87.6
TUCA,European,7.9
TUCA,Mulatto,2.5
TUCA,Indian,1.3
CYM,Mulatto,40
CYM,Black,20
CYM,European,20
C,European,58
C,Mulatto,16
C,Mestizo,12
C,African,9.3
C,Chinese,1.0
JA,African,92.1
JA,Mulatto,6.1
JA,Indian,0.8
JA,European,0.2
JA,Chinese,0.2
RH,African,95
RH,Mulatto,3
RH,European,2
DOM,Mestizo,58
DOM,African,15.8
DOM,European,13.5
DOM,Mulatto,12.4
PR,European,75.8
PR,African,8
PR,Mulatto,4
PR,Asian,0.2
VIRG,African,76
VIRG,European,15.6
VIRG,Mulatto,2.1
VIRG,Asian,1.4
BVI,Black,76.3
BVI,Mulatto,10.9
BVI,European,5.4
BVI,Indian,2.1
AXA,Black,85.3
AXA,Mulatto,8.7
AXA,European,3.7
AXA,Indian,1
KN,African,92.5
KN,Mulatto,3
KN,European,2.1
KN,Indian,1.5
AG,African,87.3
AG,Mulatto,7.4
AG,Indian,2
AG,European,1.6
MNTS,African,88.4
MNTS,Mulatto,6.7
MNTS,European,2.7
MNTS,Indian,1.5
GP,African,85
GP,Mulatto,5
GP,European,5
GP,Indian,3
WD,African,75
WD,Mulatto,19
WD,Carib,2.9
WD,European,0.8
MQ,African,70
MQ,Mulatto,10
MQ,Indian,10
MQ,European,5
WL,African,85.3
WL,Mulatto,10.9
WL,Indian,2.2
WL,European,1
BDS,African,92.4
BDS,Mulatto,3.1
BDS,European,2.7
BDS,Indian,1.3
WV,African,71.2
WV,Mulatto,23
WV,Carib,3
WV,European,1.5
WV,Indian,1.1
WG,African,82.4
WG,Mulatto,13.3
WG,Indian,2.2
WG,European,0.4
WG,Carib,0.1
TT,Indian,37.6
TT,African,36.3
TT,Dougla,22.8
TT,European,0.6
TT,Chinese,0.3
TT,Arab,0.2
TT,Carib,0.1
CUR,African,45
CUR,Mulatto,30
CUR,Mestizo,5
CUR,European,5
ARU,Mestizo,50
ARU,Mulatto,25
ARU,African,15
ARU,European,10
ARU,Asian,2
YV,Mestizo,51.6
YV,European,43.6
YV,African,2.9
YV,Chinese,1.4
YV,Wayuu,1.4
GUY,Indian,39.8
GUY,African,29.3
GUY,Dougla,20
GUY,Kapong,3
GUY,Macushi,1.3
GUY,Wapishana,1.0
GUY,European,0.3
GUY,Chinese,0.2
SME,Indian,27.4
SME,African,21.7
SME,Mulatto,15.7
SME,Javanese,13.7
SME,Dougla,13.4
SME,Chinese,1.5
SME,Carib,0.5
SME,European,0.3
GF,Mulatto,50
GF,African,30
GF,French,12
GF,Chinese,4
GF,Hmong,2
GF,Carib,1.4
CO,Mestizo,49
CO,European,37
CO,African,10.5
CO,Wayuu,0.3
CO,Paez,0.3
CO,Embera,0.1
EC,Mestizo,79.3
EC,European,6.1
EC,African,5.3
EC,Quechua,4.5
EC,Mulatto,1.9
EC,Shuar,0.3
PE,Mestizo,60.2
PE,Quechua,22.3
PE,European,5.9
PE,African,3.6
PE,Aymara,2.4
PE,Ashaninka,0.3
PE,Aguaruna,0.2
BOL,Mestizo,60
BOL,Quechua,18
BOL,Aymara,16
BOL,European,5
BOL,African,1
BOL,Guarani,0.8
BOL,Moxo,0.2
RCH,European,52
RCH,Mestizo,39
RCH,Mapuche,4.0
RCH,Aymara,1.0
RCH,Quechua,0.2
RA,European,85
RA,Arab,6
RA,Mestizo,5
RA,Mapuche,0.5
RA,Guarani,0.4
RA,Toba,0.3
RA,Quechua,0.2
RA,African,0.15
RA,Wichi,0.1
RA,Aymara,0.05
PY,Mestizo,90
PY,German,5
PY,Guarani,1.5
PY,African,1
ROU,European,87
ROU,African,8
ROU,Mestizo,2.4
ROU,Charrua,2
BR,European,47.7
BR,Mestizo,22.3
BR,Mulatto,20.1
BR,African,7.6
BR,Asian,1.1
BR,Guarani,0.025
FALK,British,95
