iatacode,name,country,city,province,latitude,longitude,elevation,gmtoffset
NOZ,Spichenkovo Airport,R,Novokuznetsk,Kemerovskaya,53.8114,86.8772,312,7
NSK,Alykel,R,Norilsk,Krasnoyarsk,69.311053,87.332183,181,7
ABA,Abakan,R,Abakan,Khakasiya,53.74,91.385,253,7
KJA,Emelyanovo,R,Krasnoyarsk,Krasnoyarsk,56.18,92.475,287,7
BTK,Bratsk,R,Bratsk,Irkutskaya,56.370556,101.698331,491,8
IKT,Irkutsk,R,Irkutsk,Irkutskaya,52.268028,104.388975,511,8
UUD,Mukhino,R,Ulan-Ude,Buryatiya,51.807764,107.437644,515,8
HTA,Kadala,R,Chita,Zabaykalskiy,52.026317,113.305556,693,9
BQS,Ignatyevo,R,Blagoveščensk,Amurskaya,50.425394,127.412478,195,9
YKS,Yakutsk,R,Yakutsk,Sakha,62.09325,129.770672,99,9
VVO,Knevichi,R,Vladivostok,Primorskiy,43.398953,132.148017,14,10
KHV,Khabarovsk Novy,R,Khabarovsk,Khabarovskiy,48.528044,135.188361,74,10
UUS,Khomutovo,R,Južno-Sachalinsk,Sakhalin,46.888672,142.717531,18,11
ITU,Iturup,R,,,45.25,147.95,118,11
GDX,Sokol,R,Magadan,Magadanskaya,59.910989,150.720439,175,11
PKC,Yelizovo,R,Petropavlovsk-Kamčatskij,Kamchatka,53.167889,158.453669,40,12
KGL,Kigali Intl,RWA,Kigali,Rwanda,-1.968628,30.13945,1481,2
SKB,Robert L Bradshaw,KN,Basseterre,Saint Kitts and Nevis,17.311194,-62.718667,52,-4
UVF,Hewanorra Intl,WL,Castries,Saint Lucia,13.733194,-60.952597,4,-4
SLU,George F L Charles,WL,Castries,Saint Lucia,14.020228,-60.992936,7,-4
SFP,Saint-Pierre,SPM,Saint-Pierre,Saint Pierre and Miquelon,46.7631,-56.1742,8,-2
SVD,E T Joshua,WV,Kingstown,Saint Vincent and the Grenadines,13.144306,-61.210861,20,-4
APW,Faleolo Intl,WS,Apia,Samoa,-13.829969,-172.008336,18,13
TMS,Sao Tome Intl,STP,São Tomé,Sao Tome and Principe,0.378175,6.712153,10,0
TIF,Taif,SA,At Taif,Makkah Al-Mokarramah,21.483418,40.544334,1478,3
DMM,King Fahd Intl,SA,Ad-Dammam,Ash Sharqiyah,26.471161,49.79789,22,3
HAS,Hail,SA,Hail,Hail,27.437917,41.686292,1016,3
JED,King Abdulaziz Intl,SA,Jeddah,Makkah Al-Mokarramah,21.679564,39.156536,15,3
RUH,King Khaled Intl,SA,Riyadh,Ar-Riyadh,24.95764,46.698776,625,3
MED,Prince Mohammad Bin Abdulaziz,SA,Al Madinah,Al-Madinah Al-Monawarah,24.553422,39.705061,656,3
ZIG,Ziguinchor,SN,Ziguinchor,Ziguinchor,12.555617,-16.281783,23,0
DKR,Leopold Sedar Senghor Intl,SN,Dakar,Dakar,14.739708,-17.490225,26,0
PRN,Pristina,KOS,Prishtine,Kosovo,42.572778,21.035833,545,1
BEG,Beograd,SRB,Beograd,Serbia,44.818444,20.309139,102,1
INI,Nis,SRB,Niš,Serbia,43.337289,21.853722,198,1
SEZ,Seychelles Intl,SY,Victoria,Seychelles,-4.674342,55.521839,3,4
FNA,Freetown Lungi,SLE,Freetown,Sierra Leone,8.616444,-13.195489,26,0
SIN,Changi Intl,SGP,Singapore,Singapore,1.350189,103.994433,7,8
SXM,Princess Juliana Intl,SX,Philipsburg,Sint Maarten,18.040953,-63.1089,4,-4
BTS,M R Stefanik,SK,Bratislava,Bratislavský,48.170167,17.212667,133,1
KSC,Kosice,SK,Košice,Košický,48.663055,21.241112,230,1
LJU,Ljubljana,SLO,Ljubljana,Slovenia,46.223686,14.457611,388,1
HIR,Honiara International,SOL,Honiara,Solomon Islands,-9.428,160.054789,9,11
MGQ,Aden Adde International Airport,SO,Mogadishu,Somalia,2.01444,45.3047,9,3
HLA,Lanseria,RSA,Johannesburg,Gauteng,-25.938514,27.926133,1377,2
PZB,Pietermaritzburg,RSA,Msunduzi,KwaZulu-Natal,-29.648975,30.398667,739,2
DUR,Durban Intl,RSA,eThekwini,KwaZulu-Natal,-29.970089,30.950519,10,2
ELS,East London,RSA,Buffalo City,Eastern Cape,-33.035569,27.825939,133,2
BFN,Bloemfontein Intl,RSA,Mangaung,Free State,-29.092722,26.302444,1359,2
KIM,Kimberley,RSA,Kimberley,Northern Cape,-28.802834,24.765167,1204,2
PLZ,Port Elizabeth Intl,RSA,Nelson Mandela Bay,Eastern Cape,-33.984919,25.617275,69,2
PTG,Pietersburg,RSA,Polokwane,Limpopo,-23.926089,29.484422,1327,2
CPT,Cape Town Intl,RSA,Cape Town,Western Cape,-33.964806,18.601667,46,2
JNB,Johannesburg Intl,RSA,Johannesburg,Gauteng,-26.139166,28.246,1695,2
RSU,Yeosu,ROK,Yeosu,South Korea,34.842328,127.61685,16,9
ICN,Incheon Intl,ROK,Seoul,South Korea,37.469075,126.450517,7,9
PUS,Gimhae Intl,ROK,Busan,South Korea,35.179528,128.938222,2,9
GMP,Gimpo,ROK,Seoul,South Korea,37.558311,126.790586,18,9
USN,Ulsan,ROK,Ulsan,South Korea,35.593494,129.351722,14,9
KWJ,Gwangju,ROK,Gwangju,South Korea,35.126389,126.808889,12,9
TAE,Daegu Ab,ROK,Daegu,South Korea,35.894108,128.658856,35,9
CJU,Jeju Intl,ROK,Jeju,South Korea,33.511306,126.493028,36,9
JUB,Juba,SSD,Juba,South Sudan,4.872006,31.601117,461,2
VDE,Hierro,E,,,27.814847,-17.887056,31,0
SDR,Santander,E,Santander,Cantabria,43.427064,-3.820006,5,1
SPC,La Palma,E,,,28.626478,-17.755611,33,0
LPA,Gran Canaria,E,Las Palmas de Gran Canaria,Canarias,27.931886,-15.386586,24,0
SLM,Salamanca,E,Salamanca,Castilla y León,40.952117,-5.501986,791,1
TFN,Tenerife Norte,E,Santa Cruz de Tenerife,Canarias,28.482653,-16.341536,632,0
AGP,Malaga,E,Málaga,Andalucía,36.6749,-4.499106,16,1
BIO,Bilbao,E,Bilbao,Euskadi,43.301097,-2.910608,42,1
TFS,Tenerife Sur,E,Santa Cruz de Tenerife,Canarias,28.044475,-16.572489,64,0
BJZ,Talavera La Real,E,Badajoz,Extremadura,38.89125,-6.821333,186,1
ALC,Alicante,E,Alicante,Valenciana,38.282169,-0.558156,43,1
BCN,Barcelona,E,Barcelona,Catalunya,41.297078,2.078464,4,1
ACE,Lanzarote,E,Las Palmas de Gran Canaria,Canarias,28.945464,-13.605225,14,0
VGO,Vigo,E,Vigo,Galicia,42.2318,-8.626775,261,1
MLN,Melilla,MEL,Melilla,Melilla,35.279817,-2.956256,48,0
MJV,Murcia San Javier,E,Murcia,Murcia,37.774972,-0.812389,3,1
GMZ,La Gomera Airport,E,,,28.0296,-17.2146,219,0
FUE,Fuerteventura,E,,,28.452717,-13.863761,25,0
XRY,Jerez,E,Jerez de la Frontera,Andalucía,36.744622,-6.060111,28,1
PMI,Son Sant Joan,E,Palma de Mallorca,Illes Balears,39.55361,2.727778,7,1
PNA,Pamplona,E,Pamplona,Navarra,42.770039,-1.646331,459,1
GRX,Granada,E,Granada,Andalucía,37.188731,-3.777356,567,1
IBZ,Ibiza,E,,,38.872858,1.373117,6,1
ZAZ,Zaragoza Ab,E,Zaragoza,Aragón,41.666242,-1.041553,263,1
REU,Reus,E,Reus,Catalunya,41.147392,1.167172,71,1
EAS,San Sebastian,E,Donostia,Euskadi,43.356519,-1.790611,5,1
MAD,Barajas,E,Madrid,Madrid,40.493556,-3.566764,610,1
MAH,Menorca,E,,,39.862597,4.218647,91,1
VLC,Valencia,E,Valencia,Valenciana,39.489314,-0.481625,69,1
VLL,Valladolid,E,Valladolid,Castilla y León,41.706111,-4.851944,846,1
SVQ,Sevilla,E,Sevilla,Andalucía,37.418,-5.893106,34,1
LCG,A Coruna,E,A Coruña,Galicia,43.302061,-8.377256,99,1
LEI,Almeria,E,Almería,Andalucía,36.843936,-2.370097,21,1
SCQ,Santiago,E,Santiago de Compostela,Galicia,42.896333,-8.415144,370,1
CMB,Bandaranaike Intl Colombo,CL,Colombo,Sri Lanka,7.180756,79.884117,9,5.5
KRT,Khartoum,SUD,Khartoum,Al-Kharṭūm,15.589497,32.553161,386,2
PBM,Johan A Pengel Intl,SME,Paramaribo,Suriname,5.452831,-55.187783,18,-3
MTS,Matsapha,SD,Mbabane,Eswatini,-26.529022,31.307519,633,2
VXO,Kronoberg,S,Växjö,Kronoberg,56.929144,14.727994,186,1
VBY,Visby,S,Visby,Gotland,57.662797,18.346211,50,1
NRK,Kungsangen,S,Norrköping,Östergötland,58.586253,16.250622,10,1
LLA,Kallax,S,Lulea,Norrbotten,65.543758,22.121989,20,1
LPI,Saab,S,Linköping,Östergötland,58.40615,15.680508,52,1
AGH,Angelholm-Helsingborg Airport,S,Helsingborg,Skåne,56.2961,12.8471,21,1
KID,Kristianstad,S,Kristianstad,Skåne,55.921686,14.085536,23,1
BMA,Bromma,S,Stockholm,Stockholm,59.354372,17.94165,14,1
KLR,Kalmar,S,Kalmar,Kalmar,56.685531,16.287578,5,1
UME,Umea,S,Umeå,Västerbotten,63.791828,20.282758,7,1
NYO,Skavsta,S,Stockholm,Stockholm,58.788636,16.912189,43,1
VST,Västerås,S,Västerås,Västmanland,59.589444,16.633611,6,1
HAD,Halmstad,S,Halmstad,Halland,56.691128,12.820211,31,1
JKG,Jönköping,S,Jönköping,Jönköping,57.757594,14.068731,226,1
OSD,Östersund Airport,S,Ostersund,Jämtland,63.1944,14.5003,376,1
ORB,Örebro,S,Örebro,Örebro,59.223733,15.037956,57,1
GOT,Landvetter,S,Göteborg,Västra Götaland,57.662836,12.279819,154,1
GSE,Save,S,Göteborg,Västra Götaland,57.774722,11.870372,18,1
ARN,Arlanda,S,Stockholm,Stockholm,59.651944,17.918611,42,1
MMX,Sturup,S,Malmö,Skåne,55.530193,13.371639,72,1
KSD,Karlstad Airport,S,Karlstad,Värmland,59.4447,13.3374,107,1
