iatacode,name,country,city,province,latitude,longitude,elevation,gmtoffset
EVV,Evansville Regional,USA,Evansville,Indiana,38.036997,-87.532364,127,-6
EWR,Newark Liberty Intl,USA,Newark,New Jersey,40.6925,-74.168667,5,-5
EUG,Mahlon Sweet Fld,USA,Eugene,Oregon,44.124583,-123.211972,114,-8
ERI,Erie Intl Tom Ridge Fld,USA,Erie,Pennsylvania,42.082022,-80.176217,223,-5
MKE,General Mitchell Intl,USA,Milwaukee,Wisconsin,42.947222,-87.896583,220,-6
MKL,Mc Kellar Sipes Rgnl,USA,Jackson,Mississippi,35.599889,-88.915611,132,-6
DFW,Dallas Fort Worth Intl,USA,Dallas,Texas,32.896828,-97.037997,185,-6
MIA,Miami Intl,USA,Miami,Florida,25.79325,-80.290556,2,-5
MDT,Harrisburg Intl,USA,Harrisburg,Pennsylvania,40.193494,-76.763403,95,-5
MEM,Memphis Intl,USA,Memphis,Tennessee,35.042417,-89.976667,104,-6
MDW,Chicago Midway Intl,USA,Chicago,Illinois,41.785972,-87.752417,189,-6
MCI,Kansas City Intl,USA,Kansas City,Missouri,39.297606,-94.713905,313,-6
MCO,Orlando Intl,USA,Orlando,Florida,28.429394,-81.308994,29,-5
MOB,Mobile Rgnl,USA,Mobile,Alabama,30.691231,-88.242814,67,-6
MOD,Modesto City Co Harry Sham,USA,Modesto,California,37.625817,-120.954422,30,-8
SDF,Louisville International Airport,USA,Louisville,Kentucky,38.1740858,-85.7364989,153,-5
CLE,Cleveland Hopkins Intl,USA,Cleveland,Ohio,41.411689,-81.849794,241,-5
SEA,Seattle Tacoma Intl,USA,Seattle,Washington,47.449,-122.309306,132,-8
SFO,San Francisco Intl,USA,San Francisco,California,37.618972,-122.374889,4,-8
CHS,Charleston Afb Intl,USA,Charleston,West Virginia,32.898647,-80.040528,14,-5
SGF,Springfield Branson Natl,USA,Springfield,Missouri,37.245667,-93.388639,387,-6
SPS,Sheppard Afb Wichita Falls Muni,USA,Wichita Falls,Texas,33.988797,-98.491894,311,-6
LNK,Lincoln,USA,Lincoln,Nebraska,40.850971,-96.75925,372,-6
COS,City Of Colorado Springs Muni,USA,Colorado Springs,Colorado,38.805805,-104.700778,1886,-7
CLT,Charlotte Douglas Intl,USA,Charlotte,North Carolina,35.214,-80.943139,228,-5
ALB,Albany Intl,USA,Albany,New York,42.748267,-73.801692,87,-5
BNA,Nashville Intl,USA,Nashville-Davidson,Tennessee,36.124472,-86.678194,183,-6
TPA,Tampa Intl,USA,Tampa,Florida,27.975472,-82.53325,8,-5
BOI,Boise Air Terminal,USA,Boise City,Idaho,43.564361,-116.222861,875,-7
BOS,General Edward Lawrence Logan Intl,USA,Boston,Massachusetts,42.364347,-71.005181,6,-5
MVY,Martha's Vineyard,USA,,,41.391667,-70.615278,20,-5
ACK,Nantucket Mem,USA,,,41.253053,-70.060181,15,-5
AMA,Rick Husband Amarillo Intl,USA,Amarillo,Texas,35.219369,-101.705931,1100,-6
TOL,Toledo,USA,Toledo,Ohio,41.586806,-83.807833,209,-5
SYR,Syracuse Hancock Intl,USA,Syracuse,New York,43.111187,-76.106311,128,-5
CVG,Cincinnati Northern Kentucky Intl,USA,Cincinnati,Ohio,39.048836,-84.667822,273,-5
STL,Lambert St Louis Intl,USA,St. Louis,Missouri,38.748697,-90.370028,188,-6
CYS,Cheyenne Rgnl Jerry Olson Fld,USA,Cheyenne,Wyoming,41.155722,-104.811839,1877,-7
DAL,Dallas Love Fld,USA,Dallas,Texas,32.847111,-96.851778,148,-6
DAY,James M Cox Dayton Intl,USA,Dayton,Ohio,39.902375,-84.219375,308,-5
LAS,Mc Carran Intl,USA,Las Vegas,Nevada,36.080056,-115.15225,653,-8
LAN,Capital City,USA,Lansing,Michigan,42.7787,-84.587357,263,-5
CRP,Corpus Christi Intl,USA,Corpus Christi,Texas,27.770361,-97.501222,13,-6
SLC,Salt Lake City Intl,USA,Salt Lake City,Utah,40.788389,-111.977772,1289,-7
CRW,Yeager,USA,Charleston,West Virginia,38.373147,-81.593189,299,-5
CSG,Columbus Metropolitan Airport,USA,Columbus,Georgia,32.5163333,-84.9388611,121,-5
SMF,Sacramento Intl,USA,Sacramento,California,38.695417,-121.590778,8,-8
LUK,Cincinnati Muni Lunken Fld,USA,Cincinnati,Ohio,39.103333,-84.418611,147,-5
SNA,John Wayne Arpt Orange Co,USA,Santa Ana,California,33.675667,-117.868222,17,-8
LAX,Los Angeles Intl,USA,Los Angeles,California,33.942536,-118.408075,38,-8
LBB,Lubbock Preston Smith Intl,USA,Lubbock,Texas,33.663639,-101.822778,1001,-6
DEN,Denver Intl,USA,Denver,Colorado,39.861656,-104.673178,1656,-7
DCA,Ronald Reagan Washington Natl,USA,Washington,District of Columbia,38.852083,-77.037722,5,-5
LGB,Long Beach,USA,Long Beach,California,33.817722,-118.151611,18,-8
BNS,Barinas,YV,Barinas,Barinas,8.619575,-70.220825,203,-4
LGA,La Guardia,USA,New York,New York,40.777245,-73.872608,7,-5
CHA,Lovell Fld,USA,Chattanooga,Tennessee,35.035278,-85.203808,208,-5
SHV,Shreveport Rgnl,USA,Shreveport,Louisiana,32.446629,-93.8256,79,-6
LIT,Adams Fld,USA,Little Rock,Arkansas,34.729444,-92.224306,80,-6
SJC,Norman Y Mineta San Jose Intl,USA,San Jose,California,37.3626,-121.929022,19,-8
BHM,Birmingham Intl,USA,Birmingham,Alabama,33.562942,-86.75355,196,-6
BIS,Bismarck Municipal Airport,USA,Bismarck,North Dakota,46.775842,-100.757931,506,-6
BIL,Billings Logan International Airport,USA,Billings,Montana,45.80921,-108.537654,1113,-7
TUL,Tulsa Intl,USA,Tulsa,Oklahoma,36.198389,-95.888111,206,-6
TUS,Tucson Intl,USA,Tucson,Arizona,32.116083,-110.941028,806,-7
RNO,Reno Tahoe Intl,USA,Reno,Nevada,39.499108,-119.768108,1346,-8
BUF,Buffalo Niagara Intl,USA,Buffalo,New York,42.940525,-78.732167,221,-5
ATL,Hartsfield Jackson Atlanta Intl,USA,Atlanta,Georgia,33.636719,-84.428067,313,-5
BTR,Baton Rouge Metro Ryan Fld,USA,Baton Rouge,Louisiana,30.533167,-91.149639,21,-6
AUS,Austin Bergstrom Intl,USA,Austin,Texas,30.194528,-97.669889,165,-6
TYS,Mc Ghee Tyson,USA,Knoxville,Tennessee,35.810972,-83.994028,299,-5
BWI,Baltimore Washington Intl,USA,Baltimore,Maryland,39.175361,-76.668333,45,-5
CAK,Akron Canton Regional Airport,USA,Akron,Ohio,40.9160833,-81.4421944,374,-5
ABE,Lehigh Valley Intl,USA,Allentown,Pennsylvania,40.652083,-75.440806,120,-5
ABI,Abilene Rgnl,USA,Abilene,Texas,32.411319,-99.681897,546,-6
TLH,Tallahassee Rgnl,USA,Tallahassee,Florida,30.396528,-84.350333,25,-5
ACT,Waco Rgnl,USA,Waco,Texas,31.611289,-97.230519,157,-6
ABQ,Albuquerque International Sunport,USA,Albuquerque,New Mexico,35.0402222,-106.6091944,1633,-7
SAN,San Diego Intl,USA,San Diego,California,32.733556,-117.189667,5,-8
SAT,San Antonio Intl,USA,San Antonio,Texas,29.533694,-98.469778,247,-6
SAV,Savannah Hilton Head Intl,USA,Savannah,Georgia,32.127583,-81.202139,16,-5
PWM,Portland Intl Jetport,USA,Portland,Maine,43.646161,-70.309281,23,-5
PVD,Theodore Francis Green State,USA,Providence,Rhode Island,41.732581,-71.420383,17,-5
IND,Indianapolis Intl,USA,Indianapolis,Indiana,39.717331,-86.294383,243,-5
IAD,Washington Dulles Intl,USA,Washington,District of Columbia,38.944533,-77.455811,95,-5
IAH,George Bush Intcntl Houston,USA,Houston,Texas,29.984433,-95.341442,30,-6
ICT,Wichita Mid Continent,USA,Wichita,Kansas,37.649944,-97.433056,406,-6
HOU,William P Hobby,USA,Houston,Texas,29.645419,-95.278889,14,-6
ROC,Greater Rochester Intl,USA,Rochester,New York,43.118866,-77.672389,170,-5
FLL,Fort Lauderdale Hollywood Intl,USA,Fort Lauderdale,Florida,26.072583,-80.15275,3,-5
OMA,Eppley Afld,USA,Omaha,Nebraska,41.303167,-95.894069,300,-6
PDX,Portland Intl,USA,Portland,Oregon,45.588722,-122.5975,9,-8
ORF,Norfolk Intl,USA,Norfolk,Virginia,36.894611,-76.201222,8,-5
ORD,Chicago Ohare Intl,USA,Chicago,Illinois,41.978603,-87.904842,204,-6
FNT,Bishop International,USA,Flint,Michigan,42.965424,-83.743629,238,-5
PHX,Phoenix Sky Harbor Intl,USA,Phoenix,Arizona,33.434278,-112.011583,346,-7
PIT,Pittsburgh Intl,USA,Pittsburgh,Pennsylvania,40.491467,-80.232872,367,-5
PIR,Pierre Regional Airport,USA,Pierre,South Dakota,44.3827,-100.286,531,-6
PHL,Philadelphia Intl,USA,Philadelphia,Pennsylvania,39.871944,-75.241139,11,-5
HLN,Helena Rgnl,USA,Helena,Montana,46.606806,-111.98275,1182,-7
GEG,Spokane Intl,USA,Spokane,Washington,47.619861,-117.533833,724,-8
OKC,Will Rogers World,USA,Oklahoma City,Oklahoma,35.393089,-97.600733,395,-6
RIC,Richmond Intl,USA,Richmond,Virginia,37.505167,-77.319667,51,-5
JFK,John F Kennedy Intl,USA,New York,New York,40.639751,-73.778925,4,-5
JAX,Jacksonville Intl,USA,Jacksonville,Florida,30.494056,-81.687861,9,-5
JAN,Jackson Evers Intl,USA,Jackson,Mississippi,32.311167,-90.075889,105,-6
SAF,Santa Fe Muni,USA,Santa Fe,New Mexico,35.617108,-106.089422,1935,-7
OAJ,Albert J Ellis,USA,Jacksonville,Florida,34.829164,-77.612139,29,-5
OAK,Metropolitan Oakland Intl,USA,Oakland,California,37.721278,-122.220722,3,-8
JNU,Juneau Intl,USA,Juneau,Alaska,58.354972,-134.576278,6,-9
ANC,Ted Stevens Anchorage Intl,USA,Anchorage,Alaska,61.174361,-149.996361,46,-9
HNL,Honolulu Intl,USA,Honolulu,Hawaii,21.318681,-157.922428,4,-10
ITO,Hilo Intl,USA,Hilo,Hawaii,19.721375,-155.048469,12,-10
LNY,Lanai,USA,,,20.785611,-156.951419,399,-10
MKK,Molokai,USA,,,21.152886,-157.096256,138,-10
OGG,Kahului,USA,,,20.89865,-156.430458,16,-10
MVD,Carrasco Intl,ROU,Montevideo,Uruguay,-34.838417,-56.030806,32,-3
BHK,Bukhara,UZ,Buxoro,Buxoro,39.775,64.483333,229,5
UGC,Urgench Airport,UZ,Urganch,Xorazm,41.5843,60.6417,98,5
TMJ,Termez Airport,UZ,Termiz,Surkhandarya,37.286667,67.31,313,5
TAS,Yuzhny,UZ,Toshkent,Toshkent City,41.257861,69.281186,432,5
NCU,Nukus Airport,UZ,Nukus,Qoraqalpogʻiston,42.4884,59.6233,75,5
FEG,Fergana Airport,UZ,Fargona,Fargʻona,40.3588,71.745,604,5
SKD,Samarkand,UZ,Samarqand,Samarqand,39.700547,66.983829,678,5
VLI,Port Vila Bauerfield,VU,Port Vila,Vanuatu,-17.699325,168.319794,21,11
PZO,General Manuel Carlos Piar,YV,Ciudad Guayana,Bolívar,8.288528,-62.760361,144,-4
BLA,General Jose Antonio Anzoategui Intl,YV,Barcelona,Anzoátegui,10.107139,-64.689161,8,-4
PYH,Casique Aramare,YV,Puerto Ayacucho,Amazonas,5.619992,-67.606103,75,-4
BRM,Barquisimeto Intl,YV,Barquisimeto,Lara,10.042747,-69.358619,623,-4
MAR,La Chinita Intl,YV,Maracaibo,Zulia,10.558208,-71.727856,72,-4
VLN,Arturo Michelena Intl,YV,Valencia,Carabobo,10.149733,-67.9284,432,-4
MUN,Maturin,YV,Maturín,Monagas,9.749067,-63.1534,68,-4
CCS,Simon Bolivar Intl,YV,Caracas,Distrito Federal,10.603117,-66.990583,72,-4
PMV,Caribe Santiago Mariño,YV,Porlamar,Nueva Esparta,10.89,-63.65,14,-4
VKG,Rach Gia,VN,Rach Gia,Mekong River Delta,9.949676,105.133659,2,7
VII,Vinh Airport,VN,Vinh,North and South Central Coast,18.737569,105.670764,7,7
SGN,Tansonnhat Intl,VN,Thanh Pho Ho Chi Minh,Southeast,10.818797,106.651856,10,7
HAN,Noibai Intl,VN,Hanoi,Red River Delta,21.221192,105.807178,12,7
HPH,Cat Bi International Airport,VN,Haiphong,Red River Delta,20.819386,106.724989,2,7
VCA,Tra Noc Airport,VN,Can Tho,Mekong River Delta,10.085119,105.711922,3,7
NHA,Nha Trang,VN,Nha Trang,North and South Central Coast,12.227467,109.192322,6,7
STT,Cyril E King,VIRG,Charlotte Amalie,Virgin Islands,18.337306,-64.973361,7,-4
WLS,Wallis,WF,Mata-Utu,Wallis and Futuna,-13.238281,-176.199228,24,12
EUN,Hassan I Airport,WSA,El Aaiun,Western Sahara,27.1517,-13.2192,63,0
SAH,Sanaa Intl,YE,Sanaa,Yemen,15.476258,44.219739,2200,3
HOD,Hodeidah Intl,YE,al Hudaydah,Yemen,14.753,42.976336,13,3
TAI,Taiz Intl,YE,Taizz,Yemen,13.685964,44.139056,1475,3
ADE,Aden Intl,YE,Aden,Yemen,12.829542,45.028792,2,3
LVI,Livingstone,Z,Livingstone,Southern,-17.821756,25.822692,1007,2
NLA,Ndola,Z,Ndola,Copperbelt,-12.998139,28.664944,1270,2
LUN,Lusaka Intl,Z,Lusaka,Lusaka,-15.330817,28.452628,1152,2
BUQ,J M Nkomo Intl,ZW,Bulawayo,Zimbabwe,-20.017431,28.617869,1329,2
HRE,Harare Intl,ZW,Harare,Zimbabwe,-17.931806,31.092847,1490,2
